NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	116	0.47841454	1.8370079	0.0	0.0035873188	0.053	7605	tags=64%, list=38%, signal=102%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	40	0.55141133	1.7574164	0.0	0.010008405	0.147	6551	tags=60%, list=32%, signal=89%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	Details ...	49	0.51068395	1.7199373	0.0	0.014117942	0.21	4391	tags=43%, list=22%, signal=55%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	50	0.5168633	1.7169801	0.002915452	0.013628913	0.214	3100	tags=32%, list=15%, signal=38%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	73	0.4770825	1.7029978	0.002805049	0.014614297	0.24	7404	tags=60%, list=37%, signal=95%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	271	0.39525032	1.6755321	0.0	0.019473879	0.326	4066	tags=37%, list=20%, signal=46%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	29	0.55822307	1.6675445	0.0048387097	0.020295257	0.352	3212	tags=34%, list=16%, signal=41%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Details ...	31	0.5487977	1.6595542	0.0075642965	0.021175673	0.38	1448	tags=32%, list=7%, signal=35%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS		62	0.47382757	1.6403521	0.0028571428	0.024861954	0.444	3081	tags=29%, list=15%, signal=34%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS		15	0.61996996	1.6251193	0.011744967	0.02844466	0.501	1630	tags=27%, list=8%, signal=29%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		30	0.51761425	1.5865123	0.016845329	0.041217834	0.657	3278	tags=33%, list=16%, signal=40%	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS		16	0.59679085	1.5624244	0.0273752	0.048795354	0.735	1574	tags=31%, list=8%, signal=34%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		25	0.5338695	1.555268	0.014516129	0.05102313	0.768	4360	tags=40%, list=22%, signal=51%	
KEGG_PEROXISOME	KEGG_PEROXISOME		78	0.42186466	1.5340948	0.007012623	0.06036844	0.831	4959	tags=41%, list=25%, signal=54%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		127	0.39563888	1.530295	0.0066577895	0.060008995	0.84	4686	tags=49%, list=23%, signal=63%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		49	0.44859904	1.4922153	0.02529762	0.08019251	0.923	3836	tags=39%, list=19%, signal=48%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		30	0.48634312	1.4832038	0.03387097	0.08395061	0.94	8296	tags=63%, list=41%, signal=107%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		40	0.462413	1.483011	0.032258064	0.081295505	0.94	3497	tags=28%, list=17%, signal=33%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		101	0.3904529	1.4585977	0.01305483	0.09564514	0.958	3995	tags=31%, list=20%, signal=38%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		54	0.41806883	1.43285	0.026124818	0.11552043	0.985	5329	tags=44%, list=26%, signal=60%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA		55	0.4224075	1.429239	0.051136363	0.11503909	0.986	3995	tags=33%, list=20%, signal=41%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION		23	0.49616307	1.4225453	0.07317073	0.11816221	0.989	2226	tags=30%, list=11%, signal=34%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		68	0.4058007	1.4198757	0.031518623	0.11748527	0.989	3655	tags=37%, list=18%, signal=45%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		42	0.43641832	1.4027443	0.05279503	0.13046572	0.995	4844	tags=45%, list=24%, signal=59%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM		18	0.51831096	1.3806607	0.093699515	0.15203555	0.997	2640	tags=39%, list=13%, signal=45%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		56	0.39962175	1.3724669	0.059248555	0.15866767	0.998	4450	tags=38%, list=22%, signal=48%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM		39	0.42883244	1.3671222	0.10436137	0.16116199	0.999	3894	tags=33%, list=19%, signal=41%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		157	0.3423633	1.3611233	0.028350515	0.16457675	1.0	6549	tags=44%, list=32%, signal=65%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		34	0.43332943	1.3541459	0.09707242	0.16873313	1.0	3007	tags=21%, list=15%, signal=24%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY		177	0.3315986	1.3472161	0.032098766	0.17346188	1.0	4982	tags=35%, list=25%, signal=46%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		132	0.34245667	1.34245	0.04050633	0.1754871	1.0	5859	tags=35%, list=29%, signal=49%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		172	0.33491483	1.3416438	0.029113924	0.17257488	1.0	6445	tags=43%, list=32%, signal=63%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		76	0.3656813	1.3341182	0.052489907	0.17834616	1.0	5762	tags=42%, list=29%, signal=59%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		27	0.4428718	1.3210531	0.1141046	0.19168772	1.0	6235	tags=52%, list=31%, signal=75%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		44	0.39799002	1.2936331	0.11164274	0.22597942	1.0	4500	tags=36%, list=22%, signal=47%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		90	0.34807575	1.2830639	0.09090909	0.23729028	1.0	4982	tags=36%, list=25%, signal=47%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		32	0.4087847	1.2676188	0.13946117	0.25761077	1.0	5746	tags=31%, list=28%, signal=44%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		69	0.35346854	1.2614193	0.11982881	0.26220614	1.0	3749	tags=29%, list=19%, signal=35%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES		15	0.48844975	1.257299	0.1840796	0.26380187	1.0	2733	tags=27%, list=14%, signal=31%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		34	0.40122634	1.2572434	0.14871016	0.25878292	1.0	3644	tags=32%, list=18%, signal=39%	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM		18	0.46962827	1.2548459	0.19008264	0.2584733	1.0	4104	tags=39%, list=20%, signal=49%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		42	0.38803634	1.2532891	0.15657312	0.2559738	1.0	4844	tags=33%, list=24%, signal=44%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		42	0.38013998	1.2380874	0.14666666	0.27533925	1.0	3905	tags=31%, list=19%, signal=38%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		26	0.41451266	1.2255858	0.1767516	0.2914114	1.0	1416	tags=15%, list=7%, signal=17%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		23	0.42591962	1.2227339	0.2032258	0.29152906	1.0	2478	tags=26%, list=12%, signal=30%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		129	0.31151447	1.2147883	0.1124183	0.30037445	1.0	3565	tags=24%, list=18%, signal=29%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS		17	0.4602324	1.2136056	0.20623916	0.2973445	1.0	6007	tags=59%, list=30%, signal=84%	
KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM		17	0.4508372	1.2038612	0.22330096	0.3095469	1.0	4231	tags=47%, list=21%, signal=59%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		67	0.3380361	1.1822033	0.18406594	0.3456497	1.0	5234	tags=39%, list=26%, signal=52%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		47	0.35503203	1.1746738	0.21861152	0.35447493	1.0	4823	tags=40%, list=24%, signal=53%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		114	0.2987514	1.1464922	0.21216217	0.40573233	1.0	3849	tags=25%, list=19%, signal=30%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		26	0.3867932	1.1427602	0.2744186	0.4070366	1.0	5087	tags=38%, list=25%, signal=51%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		32	0.3644548	1.1160617	0.29411766	0.4597884	1.0	1448	tags=19%, list=7%, signal=20%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		75	0.29642296	1.0594893	0.35213205	0.59173	1.0	3810	tags=24%, list=19%, signal=29%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		44	0.31205812	1.0425963	0.4058394	0.6265117	1.0	5293	tags=30%, list=26%, signal=40%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		150	0.26190543	1.0405513	0.37922403	0.62282693	1.0	4112	tags=23%, list=20%, signal=29%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		137	0.26183346	1.0350381	0.39416984	0.62896323	1.0	5194	tags=28%, list=26%, signal=38%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		44	0.31500039	1.0328298	0.4057971	0.62563026	1.0	664	tags=9%, list=3%, signal=9%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		46	0.31161252	1.0289638	0.3832853	0.6268239	1.0	5275	tags=33%, list=26%, signal=44%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		42	0.316517	1.0288861	0.4232489	0.618264	1.0	1045	tags=14%, list=5%, signal=15%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		29	0.33711845	1.0066408	0.45	0.6686816	1.0	3366	tags=24%, list=17%, signal=29%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		44	0.31531027	1.0063789	0.44705883	0.66054976	1.0	3644	tags=27%, list=18%, signal=33%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		32	0.32942113	1.0024967	0.45845696	0.6620618	1.0	4579	tags=34%, list=23%, signal=44%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY		87	0.26818416	1.0007218	0.45714286	0.65774757	1.0	3493	tags=22%, list=17%, signal=26%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		40	0.3070763	0.99842453	0.45297804	0.6552509	1.0	4802	tags=38%, list=24%, signal=49%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		24	0.34656793	0.9888192	0.4775641	0.67114776	1.0	4530	tags=29%, list=22%, signal=38%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS		53	0.28647512	0.97505665	0.51502144	0.6970784	1.0	4305	tags=25%, list=21%, signal=31%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		56	0.2742781	0.94946796	0.5259467	0.7537856	1.0	3444	tags=20%, list=17%, signal=24%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		159	0.2368659	0.94310766	0.61508954	0.7606412	1.0	3939	tags=23%, list=20%, signal=28%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		100	0.25148728	0.93731356	0.58488065	0.7660975	1.0	4982	tags=28%, list=25%, signal=37%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		83	0.25232133	0.9237811	0.5887978	0.7910322	1.0	4854	tags=27%, list=24%, signal=35%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY		266	0.22060505	0.9212998	0.68384075	0.78775483	1.0	5078	tags=25%, list=25%, signal=33%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		70	0.2574555	0.9206901	0.62463766	0.77989626	1.0	3313	tags=19%, list=16%, signal=22%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		90	0.247642	0.9107529	0.6530055	0.79588646	1.0	2424	tags=16%, list=12%, signal=18%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		47	0.27065346	0.9004291	0.6510949	0.8108963	1.0	6416	tags=34%, list=32%, signal=50%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		74	0.24561433	0.8794044	0.68073136	0.851426	1.0	4720	tags=26%, list=23%, signal=33%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE		22	0.3091333	0.87919873	0.65360504	0.8422453	1.0	4717	tags=45%, list=23%, signal=59%	
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM		16	0.33329198	0.8658534	0.6463022	0.86333656	1.0	3175	tags=25%, list=16%, signal=30%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		85	0.22680224	0.8251806	0.7867435	0.940615	1.0	2131	tags=15%, list=11%, signal=17%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		22	0.29085976	0.814472	0.72239745	0.9512613	1.0	3007	tags=23%, list=15%, signal=27%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION		21	0.292033	0.8076124	0.7468553	0.9540971	1.0	5735	tags=38%, list=28%, signal=53%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION		24	0.28020912	0.805114	0.75	0.94862187	1.0	3032	tags=17%, list=15%, signal=20%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA		57	0.22642149	0.77551967	0.851216	0.98937494	1.0	3954	tags=23%, list=20%, signal=28%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		26	0.26395738	0.7623084	0.8287462	0.998263	1.0	5140	tags=35%, list=25%, signal=46%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		126	0.19501661	0.7609392	0.9549072	0.9900535	1.0	5082	tags=25%, list=25%, signal=34%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		54	0.22022475	0.75215083	0.8930723	0.99193454	1.0	3515	tags=19%, list=17%, signal=22%	
KEGG_RIBOSOME	KEGG_RIBOSOME		87	0.20577015	0.75045204	0.93117976	0.9838603	1.0	8267	tags=55%, list=41%, signal=93%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		325	0.17615496	0.747184	0.98855835	0.9781384	1.0	3366	tags=15%, list=17%, signal=18%	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS		22	0.25023806	0.70871556	0.86625195	1.0	1.0	4747	tags=32%, list=24%, signal=42%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		44	0.20856662	0.69242346	0.93521124	1.0	1.0	6904	tags=32%, list=34%, signal=48%	
KEGG_OTHER_GLYCAN_DEGRADATION	KEGG_OTHER_GLYCAN_DEGRADATION		16	0.26492247	0.6890879	0.8920266	1.0	1.0	2414	tags=13%, list=12%, signal=14%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS		181	0.17285162	0.6879943	0.99138993	0.9954011	1.0	6757	tags=37%, list=33%, signal=55%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		33	0.19948259	0.6316406	0.9667171	1.0	1.0	5339	tags=30%, list=26%, signal=41%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES		35	0.20067757	0.63139296	0.9665654	1.0	1.0	3448	tags=17%, list=17%, signal=21%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME		124	0.14371239	0.5561961	1.0	1.0	1.0	17289	tags=100%, list=86%, signal=696%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION		73	0.12769568	0.45739558	1.0	1.0	1.0	4849	tags=16%, list=24%, signal=22%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		38	0.11719871	0.37398884	1.0	0.99997693	1.0	6371	tags=26%, list=32%, signal=38%	
